Neighbourhood,Latitude,Longitude
Old East York,43.69,79.33
Woburn,43.78,79.23
Elia (Jane and Finch),43.76,79.52
L'Amoreaux,43.8,79.32
Agincourt,43.79,79.28
Malvern,43.81,79.22
Willowdale,43.77,79.42
Downsview,43.73,79.48
Newtonbrook,43.79,79.42
Smithfield,43.74,79.59
